nome,classe,bolsa_fonte,tipo_de_ativo,ativo_cancelado,codigo,fechamento_31dez16,fechamento_31dez17,fechamento_31dez18,fechamento_31dez19,fechamento_31dez20,fechamento_31dez21,fechamento_31dez22,valor_mercado_da_empresa_31dez17,valor_mercado_da_empresa_31dez18,valor_mercado_da_empresa_31dez19,valor_mercado_da_empresa_31dez20,valor_mercado_da_empresa_31dez21,valor_mercado_da_empresa_31dez22,patrim_liq_dez_2017,patrim_liq_dez_2018,patrim_liq_dez_2019,patrim_liq_dez_2020,patrim_liq_dez_2021,patrim_liq_dez_2022
Taurus Armas,ON,Bovespa,Ação,ativo,TASA3,1.3270689125,1.5990768262,4.4907419599,4.7907497735,14.878512506,22.978723473,13.25,129326.13986,296356.79096,489029.47835,1397538.9712,2880985.4323,1685925.1625,-445233,-406963,-304621,42269,757047,1024231
Taurus Armas,PN,Bovespa,Ação,ativo,TASA4,1.3765724969,1.6442393713,3.7979433397,5.6172050875,14.535338707,23.125255001,13.35,129326.13986,296356.79096,489029.47835,1397538.9712,2880985.4323,1685925.1625,-445233,-406963,-304621,42269,757047,1024231
TC,ON,Bovespa,Ação,ativo,TRAD3,NA,NA,NA,NA,NA,5.9797682802,2.22,NA,NA,NA,NA,1672354.84,621506.76,NA,NA,NA,NA,613211,532365
Technos,ON,Bovespa,Ação,ativo,TECN3,3.3513597852,3.3048131216,2.2900958533,3.3513597852,1.2102132558,2.1597651949,2.0504587076,274409.37325,190154.1009,278274.294,100487.9395,170579.32008,155892.00156,463950,465688,344485,316295,329014,364946
Tecnisa,ON,Bovespa,Ação,ativo,TCSA3,21.460643365,20.6,14.5,18.3,9.99,3.61,2.65,682255.52,480228.4,1347231.36,735453.81,265764.59,195090.35,1049061,772009,940565,775713,590249,589938
Tecnosolo,ON,Bovespa,Ação,ativo,TCNO3,1.56,2.76,1.46,1.5,2.36,1.88,NA,18655.23,10390.59,9545.97,11953.58,10952.15,NA,2310,1135,762,56,-578,NA
Tecnosolo,PN,Bovespa,Ação,ativo,TCNO4,1.4,2.85,1.63,1.41,1.5,1.53,NA,18655.23,10390.59,9545.97,11953.58,10952.15,NA,2310,1135,762,56,-578,NA
Tegma,ON,Bovespa,Ação,ativo,TGMA3,5.7648175368,15.317218718,22.401326698,32.356947071,23.499063787,14.203789014,18.771204188,1306226.1342,1813288.73,2482557.1158,1778341.7108,1030607.3763,1277874.0214,448806,484372,575079,624663,680734,766189
Tegra Incorp,ON,Bovespa,Ação,ativo,TEGA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2181732,2390616,2568133
Teka,ON,Bovespa,Ação,ativo,TEKA3,6.05,NA,NA,8,35.98,NA,NA,3546.15,4024,3581.8,10744.69,4974.67,11322.53,-1478057,-1435218,-1564027,-1678232,-1757788,-1917957
